ID,Sex,Handedness,Overall engagement: sitcom episode 1,Overall engagement: sitcom episode 2,Overall engagement: Documentary,Working memory (Pm),Working memory (SD),Working memory (K = Pm*setsize)
sub-001,F,R,7,8,3,0.34086,30.3783,2.0452
sub-002,F,R,9,8,2,0.71057,17.4787,4.2634
sub-003,F,R,6,3,3,0.4138,27.2877,2.4828
sub-004,F,R,7,8,3,0.56275,21.0089,3.3765
sub-005,M,R,7,6,4,0.48976,22.592,2.9386
sub-006,M,L,7,8,4,0.60475,32.1917,3.6285
sub-007,F,R,7,5,3,0.69704,23.9828,4.1822
sub-008,F,R,6,5,2,0.55354,19.3968,3.3212
sub-009,M,R,7,5,3,0.46813,24.86,2.8088
sub-010,F,R,7,7.5,4,0.7352,18.8149,4.4112
sub-011,F,R,7,7,3,0.65196,45.9873,3.9117
sub-012,F,R,7,6,4,0.29255,19.5441,1.7553
sub-013,M,R,5,6,4,0.50417,23.8369,3.025
sub-014,F,R,7,6,4,0.52661,22.3019,3.1597
sub-015,M,R,8,9,3,0.72045,34.0316,4.3227
sub-016,F,L,8,9,2.5,0.41468,27.4627,2.4881
sub-017,M,R,8,8,3,0.37486,23.8731,2.2491
sub-018,F,R,7,6,4,0.36304,27.6886,2.1783
sub-019,M,R,7,6,6,0.42932,27.7695,2.5759
sub-020,M,R,8,7,3,0.59462,23.1722,3.5677
sub-021,M,R,6,7.5,2,0.5757,24.0886,3.4542
sub-022,M,R,4,7,6,0.69954,30.153,4.1972
sub-023,F,R,6,8,4,0.3741,15.6596,2.2446
sub-024,M,R,7,8,6,0.64055,23.9472,3.8433
sub-025,F,R,5,7,6,0.38618,19.2188,2.3171
sub-026,M,R,6,8,3,0.25477,19.2984,1.5286
sub-027,F,R,7,8,2.5,0.40186,39.3792,2.4112
